TIMESTAMP;ID_SENSOR;CULTURA;FASE_CULTURA;TEMPERATURA_AR_C;UMIDADE_AR_PERC;PH_SOLO;UMIDADE_SOLO_PERC;N_PRESENTE;P_PRESENTE;K_PRESENTE;BOMBA_LIGADA
2025-10-01 00:00:00;ESP32_TOM_002;Tomate;Plantio;22.87;39.8;7.46;61.44;1;0;0;0
2025-10-01 00:10:00;ESP32_TOM_001;Tomate;Plantio;21.68;47.1;6.11;78.79;0;0;0;0
2025-10-01 00:20:00;ESP32_TOM_001;Tomate;Plantio;22.87;40.57;6.03;65.36;1;0;1;0
2025-10-01 00:30:00;ESP32_TOM_001;Tomate;Plantio;25.95;30.0;6.07;51.59;0;0;0;0
2025-10-01 00:40:00;ESP32_TOM_001;Tomate;Plantio;25.94;39.04;5.29;64.68;0;0;0;0
2025-10-01 00:50:00;ESP32_TOM_001;Tomate;Plantio;25.53;30.0;6.35;61.6;0;0;0;0
2025-10-01 01:00:00;ESP32_TOM_001;Tomate;Plantio;24.77;44.41;5.4;81.83;0;0;0;0
2025-10-01 01:10:00;ESP32_TOM_002;Tomate;Plantio;26.44;30.0;7.36;79.87;1;0;0;0
2025-10-01 01:20:00;ESP32_TOM_002;Tomate;Plantio;26.98;34.64;7.07;62.49;0;0;0;0
2025-10-01 01:30:00;ESP32_TOM_001;Tomate;Plantio;27.39;30.0;6.25;80.84;1;1;0;0
2025-10-01 01:40:00;ESP32_TOM_001;Tomate;Plantio;28.11;30.0;7.77;73.59;0;0;0;0
2025-10-01 01:50:00;ESP32_TOM_002;Tomate;Plantio;27.67;36.42;7.8;77.03;0;0;0;0
2025-10-01 02:00:00;ESP32_TOM_001;Tomate;Plantio;25.94;39.12;7.67;60.17;1;0;0;0
2025-10-01 02:10:00;ESP32_TOM_001;Tomate;Plantio;24.43;35.62;6.08;63.94;0;0;0;0
2025-10-01 02:20:00;ESP32_TOM_001;Tomate;Plantio;24.47;31.7;6.29;69.74;0;0;0;0
2025-10-01 02:30:00;ESP32_TOM_001;Tomate;Plantio;27.09;33.1;6.07;71.18;1;0;0;0
2025-10-01 02:40:00;ESP32_TOM_001;Tomate;Plantio;25.84;30.0;6.06;86.17;1;0;1;0
2025-10-01 02:50:00;ESP32_TOM_001;Tomate;Plantio;26.56;30.0;6.86;64.9;0;0;1;0
2025-10-01 03:00:00;ESP32_TOM_001;Tomate;Plantio;27.09;37.23;6.1;55.03;0;0;1;0
2025-10-01 03:10:00;ESP32_TOM_002;Tomate;Plantio;26.76;34.52;5.46;65.62;0;1;0;0
2025-10-01 03:20:00;ESP32_TOM_002;Tomate;Plantio;26.8;30.1;6.62;84.47;1;0;0;0
2025-10-01 03:30:00;ESP32_TOM_001;Tomate;Plantio;32.28;30.0;7.26;66.1;0;0;0;0
2025-10-01 03:40:00;ESP32_TOM_001;Tomate;Plantio;27.3;30.0;6.13;73.87;1;0;0;0
2025-10-01 03:50:00;ESP32_TOM_001;Tomate;Plantio;28.29;30.0;7.6;60.86;0;1;0;0
2025-10-01 04:00:00;ESP32_TOM_001;Tomate;Plantio;29.38;30.0;6.61;59.25;0;0;0;0
2025-10-01 04:10:00;ESP32_TOM_001;Tomate;Plantio;29.43;31.43;6.22;63.0;0;0;0;0
2025-10-01 04:20:00;ESP32_TOM_001;Tomate;Plantio;28.76;30.0;5.41;65.77;0;0;1;0
2025-10-01 04:30:00;ESP32_TOM_002;Tomate;Plantio;25.76;30.0;7.34;81.11;0;0;0;0
2025-10-01 04:40:00;ESP32_TOM_001;Tomate;Plantio;28.6;30.0;5.68;49.64;0;0;1;1
2025-10-01 04:50:00;ESP32_TOM_001;Tomate;Plantio;28.76;30.0;6.72;74.09;1;0;0;0
2025-10-01 05:00:00;ESP32_TOM_002;Tomate;Plantio;29.2;30.0;5.53;54.01;1;0;1;1
2025-10-01 05:10:00;ESP32_TOM_002;Tomate;Plantio;30.92;30.0;6.81;69.08;0;0;1;0
2025-10-01 05:20:00;ESP32_TOM_002;Tomate;Plantio;27.26;30.51;6.92;46.23;0;0;0;1
2025-10-01 05:30:00;ESP32_TOM_002;Tomate;Plantio;30.31;30.0;6.92;83.73;0;0;0;0
2025-10-01 05:40:00;ESP32_TOM_002;Tomate;Plantio;29.12;30.0;6.28;56.07;1;1;1;0
2025-10-01 05:50:00;ESP32_TOM_002;Tomate;Plantio;28.31;32.95;6.24;63.16;0;0;0;0
2025-10-01 06:00:00;ESP32_TOM_002;Tomate;Plantio;27.08;32.5;6.39;70.05;0;1;0;0
2025-10-01 06:10:00;ESP32_TOM_002;Tomate;Plantio;27.65;30.0;5.67;65.76;0;0;0;0
2025-10-01 06:20:00;ESP32_TOM_001;Tomate;Plantio;29.12;32.77;5.98;86.45;0;0;0;0
2025-10-01 06:30:00;ESP32_TOM_002;Tomate;Plantio;32.1;30.0;6.72;72.06;0;0;0;0
2025-10-01 06:40:00;ESP32_TOM_001;Tomate;Plantio;29.08;30.0;6.89;77.69;0;0;0;0
2025-10-01 06:50:00;ESP32_TOM_001;Tomate;Plantio;28.93;30.0;6.6;72.06;0;0;1;0
2025-10-01 07:00:00;ESP32_TOM_002;Tomate;Plantio;27.6;30.0;6.28;55.12;1;0;0;0
2025-10-01 07:10:00;ESP32_TOM_001;Tomate;Plantio;26.89;40.48;6.92;69.56;0;0;0;0
2025-10-01 07:20:00;ESP32_TOM_001;Tomate;Plantio;27.48;35.67;7.14;70.39;0;0;0;0
2025-10-01 07:30:00;ESP32_TOM_002;Tomate;Plantio;28.83;30.26;6.5;63.99;0;0;1;0
2025-10-01 07:40:00;ESP32_TOM_002;Tomate;Plantio;30.11;35.24;7.11;65.06;0;0;1;0
2025-10-01 07:50:00;ESP32_TOM_002;Tomate;Plantio;27.61;30.0;6.1;64.3;1;0;0;0
2025-10-01 08:00:00;ESP32_TOM_001;Tomate;Plantio;27.16;40.38;6.61;65.01;0;0;0;0
2025-10-01 08:10:00;ESP32_TOM_002;Tomate;Plantio;30.36;30.0;5.8;63.3;0;0;0;0
2025-10-01 08:20:00;ESP32_TOM_001;Tomate;Plantio;29.21;32.67;6.7;78.83;0;0;1;0
2025-10-01 08:30:00;ESP32_TOM_002;Tomate;Plantio;28.11;32.89;6.56;70.79;0;1;0;0
2025-10-01 08:40:00;ESP32_TOM_002;Tomate;Plantio;29.31;30.0;6.05;40.26;0;0;0;1
2025-10-01 08:50:00;ESP32_TOM_002;Tomate;Plantio;26.42;35.16;7.07;63.43;0;0;0;0
2025-10-01 09:00:00;ESP32_TOM_001;Tomate;Plantio;25.34;30.66;6.75;57.96;0;0;1;0
2025-10-01 09:10:00;ESP32_TOM_001;Tomate;Plantio;28.14;33.87;6.29;61.88;0;0;0;0
2025-10-01 09:20:00;ESP32_TOM_001;Tomate;Plantio;25.54;44.74;6.59;68.7;0;0;0;0
2025-10-01 09:30:00;ESP32_TOM_002;Tomate;Plantio;27.38;36.29;6.09;70.57;0;0;0;0
2025-10-01 09:40:00;ESP32_TOM_002;Tomate;Plantio;28.02;30.0;7.76;89.33;1;0;0;0
